acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,class_counts,cpu_select,cpu_total,cpu_tuning,dataset,fold,lvq3_params,method,n_outer_folds,n_proto,n_test,n_train,reduction,seed,shared_build,spine_params,swept
0.8622641509433963,24,False,0.005031446540880503,0.005,,0.0002089999999999037,0.0002089999999999037,0.0,banana,0,,Full,10,4770,530,4770,0.0,1522386627,False,,False
0.8283018867924529,24,False,0.005031446540880503,0.005,,0.7974160000000001,0.7974160000000001,0.0,banana,0,,RSP3,10,1175,530,4770,0.7536687631027253,1522386627,False,,False
0.8169811320754717,24,False,0.005031446540880503,0.005,,2.5709800000000005,2.5709800000000005,0.0,banana,0,,RHC,10,959,530,4770,0.7989517819706499,1522386627,False,,False
0.7716981132075472,24,False,0.005031446540880503,0.005,,4.6202809999999985,4.6202809999999985,0.0,banana,0,,SPINE+1NN,10,24,530,4770,0.9949685534591195,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 0, ""invariant_held"": true, ""n_segments"": 16, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8905660377358491,24,False,0.005031446540880503,0.005,,4.6202809999999985,4.6202809999999985,0.0,banana,0,,SPINE+Graph,10,24,530,4770,0.9949685534591195,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 0, ""invariant_held"": true, ""n_segments"": 16, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8886792452830189,24,False,0.005031446540880503,0.005,,0.8470370000000003,14.897366,14.050329,banana,0,"{""epsilon"": 0.1, ""window"": 0.2}",LVQ3,10,24,530,4770,0.9949685534591195,1522386627,False,,True
0.8584905660377359,24,False,0.005031446540880503,0.005,"{""0"": 13, ""1"": 11}",0.6134510000000013,0.6134510000000013,0.0,banana,0,,KMeans,10,24,530,4770,0.9949685534591195,1522386627,False,,True
0.8245283018867925,24,False,0.005031446540880503,0.005,"{""0"": 13, ""1"": 11}",0.0007230000000006953,0.0007230000000006953,0.0,banana,0,,Random,10,24,530,4770,0.9949685534591195,1522386627,False,,True
0.7962264150943397,24,False,0.005031446540880503,0.005,,1.3293280000000003,1.3293280000000003,0.0,banana,0,,SPOT,10,24,530,4770,0.9949685534591195,1522386627,False,,True
0.8830188679245283,24,False,0.005031446540880503,0.005,,4.134533999999999,4.134533999999999,0.0,banana,0,,GLVQ,10,24,530,4770,0.9949685534591195,1522386627,False,,True
0.8660377358490566,24,False,0.005031446540880503,0.005,,0.09810800000000341,0.09810800000000341,0.0,banana,0,,GNG,10,24,530,4770,0.9949685534591195,1522386627,False,,True
0.8622641509433963,48,False,0.010062893081761006,0.01,,0.0002089999999999037,0.0002089999999999037,0.0,banana,0,,Full,10,4770,530,4770,0.0,1522386627,True,,False
0.8283018867924529,48,False,0.010062893081761006,0.01,,0.7974160000000001,0.7974160000000001,0.0,banana,0,,RSP3,10,1175,530,4770,0.7536687631027253,1522386627,True,,False
0.8169811320754717,48,False,0.010062893081761006,0.01,,2.5709800000000005,2.5709800000000005,0.0,banana,0,,RHC,10,959,530,4770,0.7989517819706499,1522386627,True,,False
0.8924528301886793,48,False,0.010062893081761006,0.01,,2.894414999999995,2.894414999999995,0.0,banana,0,,SPINE+1NN,10,48,530,4770,0.989937106918239,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 0, ""invariant_held"": true, ""n_segments"": 40, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8924528301886793,48,False,0.010062893081761006,0.01,,2.894414999999995,2.894414999999995,0.0,banana,0,,SPINE+Graph,10,48,530,4770,0.989937106918239,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 0, ""invariant_held"": true, ""n_segments"": 40, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8886792452830189,48,False,0.010062893081761006,0.01,,0.864258999999997,14.881988,14.017729000000003,banana,0,"{""epsilon"": 0.1, ""window"": 0.3}",LVQ3,10,48,530,4770,0.989937106918239,1522386627,False,,True
0.8943396226415095,48,False,0.010062893081761006,0.01,"{""0"": 26, ""1"": 22}",0.9696470000000019,0.9696470000000019,0.0,banana,0,,KMeans,10,48,530,4770,0.989937106918239,1522386627,False,,True
0.8075471698113208,48,False,0.010062893081761006,0.01,"{""0"": 26, ""1"": 22}",0.0009140000000016357,0.0009140000000016357,0.0,banana,0,,Random,10,48,530,4770,0.989937106918239,1522386627,False,,True
0.8452830188679246,48,False,0.010062893081761006,0.01,,1.6062909999999988,1.6062909999999988,0.0,banana,0,,SPOT,10,48,530,4770,0.989937106918239,1522386627,False,,True
0.8452830188679246,48,False,0.010062893081761006,0.01,,6.35266,6.35266,0.0,banana,0,,GLVQ,10,48,530,4770,0.989937106918239,1522386627,False,,True
0.8905660377358491,48,False,0.010062893081761006,0.01,,0.2436530000000019,0.2436530000000019,0.0,banana,0,,GNG,10,48,530,4770,0.989937106918239,1522386627,False,,True
0.8622641509433963,95,False,0.019916142557651992,0.02,,0.0002089999999999037,0.0002089999999999037,0.0,banana,0,,Full,10,4770,530,4770,0.0,1522386627,True,,False
0.8283018867924529,95,False,0.019916142557651992,0.02,,0.7974160000000001,0.7974160000000001,0.0,banana,0,,RSP3,10,1175,530,4770,0.7536687631027253,1522386627,True,,False
0.8169811320754717,95,False,0.019916142557651992,0.02,,2.5709800000000005,2.5709800000000005,0.0,banana,0,,RHC,10,959,530,4770,0.7989517819706499,1522386627,True,,False
0.8849056603773585,95,False,0.019916142557651992,0.02,,3.0606730000000084,3.0606730000000084,0.0,banana,0,,SPINE+1NN,10,95,530,4770,0.980083857442348,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 18, ""invariant_held"": true, ""n_segments"": 87, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8849056603773585,95,False,0.019916142557651992,0.02,,3.0606730000000084,3.0606730000000084,0.0,banana,0,,SPINE+Graph,10,95,530,4770,0.980083857442348,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 18, ""invariant_held"": true, ""n_segments"": 87, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8886792452830189,95,False,0.019916142557651992,0.02,,1.0583469999999977,18.274347000000006,17.216000000000008,banana,0,"{""epsilon"": 0.1, ""window"": 0.2}",LVQ3,10,95,530,4770,0.980083857442348,1522386627,False,,True
0.8660377358490566,95,False,0.019916142557651992,0.02,"{""0"": 52, ""1"": 43}",1.0779840000000007,1.0779840000000007,0.0,banana,0,,KMeans,10,95,530,4770,0.980083857442348,1522386627,False,,True
0.8358490566037736,95,False,0.019916142557651992,0.02,"{""0"": 52, ""1"": 43}",0.0008940000000023929,0.0008940000000023929,0.0,banana,0,,Random,10,95,530,4770,0.980083857442348,1522386627,False,,True
0.8566037735849057,95,False,0.019916142557651992,0.02,,1.8853969999999975,1.8853969999999975,0.0,banana,0,,SPOT,10,95,530,4770,0.980083857442348,1522386627,False,,True
0.8490566037735849,95,False,0.019916142557651992,0.02,,17.839962,17.839962,0.0,banana,0,,GLVQ,10,95,530,4770,0.980083857442348,1522386627,False,,True
0.8924528301886793,95,False,0.019916142557651992,0.02,,0.7431219999999996,0.7431219999999996,0.0,banana,0,,GNG,10,95,530,4770,0.980083857442348,1522386627,False,,True
0.8622641509433963,239,False,0.05010482180293501,0.05,,0.0002089999999999037,0.0002089999999999037,0.0,banana,0,,Full,10,4770,530,4770,0.0,1522386627,True,,False
0.8283018867924529,239,False,0.05010482180293501,0.05,,0.7974160000000001,0.7974160000000001,0.0,banana,0,,RSP3,10,1175,530,4770,0.7536687631027253,1522386627,True,,False
0.8169811320754717,239,False,0.05010482180293501,0.05,,2.5709800000000005,2.5709800000000005,0.0,banana,0,,RHC,10,959,530,4770,0.7989517819706499,1522386627,True,,False
0.8886792452830189,239,False,0.05010482180293501,0.05,,4.680340000000001,4.680340000000001,0.0,banana,0,,SPINE+1NN,10,239,530,4770,0.949895178197065,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 94, ""invariant_held"": true, ""n_segments"": 231, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8886792452830189,239,False,0.05010482180293501,0.05,,4.680340000000001,4.680340000000001,0.0,banana,0,,SPINE+Graph,10,239,530,4770,0.949895178197065,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 94, ""invariant_held"": true, ""n_segments"": 231, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8867924528301887,239,False,0.05010482180293501,0.05,,1.3413799999999867,23.470304,22.128924000000012,banana,0,"{""epsilon"": 0.1, ""window"": 0.3}",LVQ3,10,239,530,4770,0.949895178197065,1522386627,False,,True
0.8641509433962264,239,False,0.05010482180293501,0.05,"{""0"": 132, ""1"": 107}",3.3292869999999937,3.3292869999999937,0.0,banana,0,,KMeans,10,239,530,4770,0.949895178197065,1522386627,False,,True
0.8584905660377359,239,False,0.05010482180293501,0.05,"{""0"": 132, ""1"": 107}",0.0025290000000097734,0.0025290000000097734,0.0,banana,0,,Random,10,239,530,4770,0.949895178197065,1522386627,False,,True
0.8641509433962264,239,False,0.05010482180293501,0.05,,2.062595999999985,2.062595999999985,0.0,banana,0,,SPOT,10,239,530,4770,0.949895178197065,1522386627,False,,True
0.8641509433962264,239,False,0.05010482180293501,0.05,,25.745862000000017,25.745862000000017,0.0,banana,0,,GLVQ,10,239,530,4770,0.949895178197065,1522386627,False,,True
0.8830188679245283,239,False,0.05010482180293501,0.05,,3.1627689999999973,3.1627689999999973,0.0,banana,0,,GNG,10,239,530,4770,0.949895178197065,1522386627,False,,True
0.8622641509433963,477,False,0.1,0.1,,0.0002089999999999037,0.0002089999999999037,0.0,banana,0,,Full,10,4770,530,4770,0.0,1522386627,True,,False
0.8283018867924529,477,False,0.1,0.1,,0.7974160000000001,0.7974160000000001,0.0,banana,0,,RSP3,10,1175,530,4770,0.7536687631027253,1522386627,True,,False
0.8169811320754717,477,False,0.1,0.1,,2.5709800000000005,2.5709800000000005,0.0,banana,0,,RHC,10,959,530,4770,0.7989517819706499,1522386627,True,,False
0.8886792452830189,477,False,0.1,0.1,,9.533492999999993,9.533492999999993,0.0,banana,0,,SPINE+1NN,10,477,530,4770,0.9,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 247, ""invariant_held"": true, ""n_segments"": 469, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8905660377358491,477,False,0.1,0.1,,9.533492999999993,9.533492999999993,0.0,banana,0,,SPINE+Graph,10,477,530,4770,0.9,1522386627,False,"{""admission"": {""criterion"": ""risk"", ""removed_risk"": 4, ""removed_support"": 0}, ""betti_final"": [[5, 0], [3, 0]], ""betti_frozen"": [[5, 0], [3, 0]], ""betti_nerve"": [[2, 0], [2, 0]], ""boundary_restriction"": ""both"", ""forced_removals"": 0, ""growth_representation_fallbacks"": 247, ""invariant_held"": true, ""n_segments"": 469, ""n_train_fit"": 3578, ""n_val"": 1192, ""phase0"": [{""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1974, ""n_edges"": 10, ""n_intervals"": 7, ""n_vertices"": 12, ""noise_reassigned"": 253, ""placement"": ""quantile"", ""slabs"": [{""k"": 1, ""n"": 318}, {""k"": 1, ""n"": 352}, {""k"": 1, ""n"": 352}, {""k"": 3, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 352}, {""k"": 2, ""n"": 318}]}, {""constant_lens"": false, ""gain"": 0.25, ""lens"": ""pc1"", ""lens_scaling"": ""standardize"", ""min_cluster_size"": 17, ""min_samples"": 5, ""n_class"": 1604, ""n_edges"": 6, ""n_intervals"": 7, ""n_vertices"": 8, ""noise_reassigned"": 457, ""placement"": ""uniform"", ""slabs"": [{""k"": 1, ""n"": 65}, {""k"": 1, ""n"": 204}, {""k"": 1, ""n"": 458}, {""k"": 1, ""n"": 751}, {""k"": 2, ""n"": 256}, {""k"": 1, ""n"": 168}, {""k"": 1, ""n"": 103}]}], ""soundness_bound_holds"": true, ""step_rule"": ""scale_free"", ""topology_retention_nerve_to_frozen"": {""beta0_frozen"": 8, ""beta0_nerve"": 4, ""beta1_frozen"": 0, ""beta1_nerve"": 0}}",True
0.8660377358490566,477,False,0.1,0.1,,1.8793419999999799,32.74154199999998,30.8622,banana,0,"{""epsilon"": 0.1, ""window"": 0.3}",LVQ3,10,477,530,4770,0.9,1522386627,False,,True
0.839622641509434,477,False,0.1,0.1,"{""0"": 263, ""1"": 214}",5.430378000000019,5.430378000000019,0.0,banana,0,,KMeans,10,477,530,4770,0.9,1522386627,False,,True
0.8339622641509434,477,False,0.1,0.1,"{""0"": 263, ""1"": 214}",0.001069999999998572,0.001069999999998572,0.0,banana,0,,Random,10,477,530,4770,0.9,1522386627,False,,True
0.8452830188679246,477,False,0.1,0.1,,2.027805999999998,2.027805999999998,0.0,banana,0,,SPOT,10,477,530,4770,0.9,1522386627,False,,True
0.8584905660377359,477,False,0.1,0.1,,51.180475,51.180475,0.0,banana,0,,GLVQ,10,477,530,4770,0.9,1522386627,False,,True
0.8547169811320755,477,False,0.1,0.1,,16.96248499999996,16.96248499999996,0.0,banana,0,,GNG,10,477,530,4770,0.9,1522386627,False,,True
0.8622641509433963,1193,False,0.25010482180293503,0.25,,0.0002089999999999037,0.0002089999999999037,0.0,banana,0,,Full,10,4770,530,4770,0.0,1522386627,True,,False
